Customer ID,Name,Created Year,Created Time,Profit/User,CAC,CLV,StateID,Subscription,Genre ID,Usage,CustomerType,Last Login Date,Email,Age,Payment Method,Current Occupation,Product Rating,Listening Time,Customer Rating,song_id
b80344d063b5ccb3212f76538f3d9e43d87dca9e,Ankita Brahmankar,2011,12:07,2075.009,32,20718.09,6,6 month subscription,3,Windows,Existing,7/20/2012,alissandri18@businesswire.com,30,bankcard,Other,Neutral,Night,4,3057
bd4c6e843f00bd476847fb75c47b4fb430a06856,Anuja Suryawanshi,2010,8:10,8871.55,32,88683.5,34,3 month subscription,4,Android,Existing,4/7/2010,swinsom1e@vistaprint.com,34,visa-electron,Unemployed,Dissatisfied,Afternoon,3,2173
8937134734f869debcab8f23d77465b4caaa85df,Sayali Bhagat,2012,1:10,4369.655,32,43664.55,8,3 month subscription,1,Windows,Existing,4/15/2014,sweild1f@gov.uk,45,mastercard,Other,Dissatisfied,Night,4,3459
969cc6fb74e076a68e36a04409cb9d3765757508,Sharvari Karnik,2010,13:20,727.534,32,7243.34,5,1 month subscription,10,Windows,Existing,7/15/2010,pdentith1g@npr.org,27,jcb,Working Professional,Dissatisfied,Evening,3,4040
969cc6fb74e076a68e36a04409cb9d3765757508,Pooja Dharmadhikari,2008,2:48,3469.63,32,34664.3,46,Free users subscription,2,Android,Existing,11/24/2012,dtwomey1h@wikia.com,41,visa-electron,Unemployed,Highly Satisfied,Evening,3,2937
e006b1a48f466bf59feefed32bec6494495a4436,Dhaval Pandya,2008,17:13,2906.821,32,29036.21,23,Family Plan subscription,2,MAC,Existing,10/1/2011,gshank1i@tumblr.com,17,jcb,Home maker,Highly Satisfied,Evening,3,4959
9d6f0ead607ac2a6c2460e4d14fb439a146b7dec,Suhas Balanagar,2012,15:09,5761.091,32,57578.91,10,1 year subscription,4,Windows,Existing,1/3/2012,tborer1o@nymag.com,49,americanexpress,Home maker,Dissatisfied,Afternoon,3,2662
b64cdd1a0bd907e5e00b39e345194768e330d652,Ankita Moharir,2011,1:46,5232.662,32,52294.62,10,1 year subscription,8,Android,Existing,8/18/2012,scristofolini1s@biblegateway.com,23,jcb,Unemployed,Highly Satisfied,Morning,3,2566
d6589314c0a9bcbca4fee0c93b14bc402363afea,Jayesh Patil,2009,19:00,4203.654,32,42004.54,4,6 month subscription,3,Android,Existing,3/6/2013,jneillans1v@globo.com,53,jcb,Working Professional,Neutral,Evening,3,3817
c737ec8c1b16ce8e39115f4432c9a7fc21ec47a1,Ajinkya Joshi,2012,5:17,6797.009,32,67938.09,5,3 month subscription,4,Windows,Existing,11/6/2012,ggreeno25@ameblo.jp,56,jcb,Working Professional,Highly Dissatisfied,Morning,2,3732
83,Akash Indani,2010,5:25,9536.158,32,95329.58,42,1 month subscription,8,Android,Existing,11/29/2014,wclayfield2a@google.es,15,jcb,Home maker,Highly Dissatisfied,Night,5,2736
93,Ashish Brahmankar,2011,17:23,1501.501,32,14983.01,5,6 month subscription,10,MAC,Existing,8/16/2013,auebel2k@nhs.uk,26,visa,Student,Highly Satisfied,Afternoon,3,3551
94,Pratiksha Sawant,2011,10:16,8921.979,32,89187.79,10,6 month subscription,7,Windows,Existing,4/20/2014,jkempson2l@opera.com,62,jcb,Unemployed,Satisfied,Afternoon,4,2363
96,Petronilla MacTerrelly,2009,11:06,4914.408,32,49112.08,18,Free users subscription,4,UNIX,Existing,1/23/2009,dsegges2n@cbsnews.com,29,jcb,Working Professional,Satisfied,Evening,3,2973
98,Fayre Riba,2011,6:27,1577.072,32,15738.72,39,1 year subscription,6,Windows,Existing,5/29/2011,aspilstead2p@typepad.com,61,jcb,Student,Neutral,Morning,2,4442
106,Lilli Mullinder,2011,16:50,2646.157,32,26429.57,22,Free users subscription,10,Android,Existing,6/1/2014,lmullinder2x@abc.net.au,44,china-unionpay,Other,Neutral,Evening,3,3722
110,Renee Tissiman,2008,0:28,920.19,32,9169.9,3,Free users subscription,1,MAC,Existing,11/2/2014,rtissiman31@google.com,17,mastercard,Home maker,Dissatisfied,Afternoon,2,4056
123,Marv Peinton,2010,16:16,8580.02,32,85768.2,38,6 month subscription,5,Android,Existing,9/20/2010,mpeinton3e@studiopress.com,34,mastercard,Working Professional,Neutral,Night,2,2502
129,Berte Vamplus,2010,8:11,465.522,32,4623.22,34,3 month subscription,7,UNIX,Existing,5/27/2010,bvamplus3k@fastcompany.com,22,jcb,Working Professional,Neutral,Night,2,3195
133,Carin Fetter,2008,17:33,6044.378,32,60411.78,36,Free users subscription,9,Android,Existing,8/5/2009,cfetter3o@4shared.com,32,china-unionpay,Other,Dissatisfied,Evening,5,2960
137,Tallie Pea,2010,4:36,8458.336,32,84551.36,37,Free users subscription,1,Android,Existing,8/26/2011,tpea3s@google.co.uk,69,visa-electron,Home maker,Highly Satisfied,Night,4,4368
153,Zoe Lerven,2009,0:55,784.119,32,7809.19,34,6 month subscription,6,Windows,Existing,7/17/2011,zlerven48@spiegel.de,57,switch,Businessman,Dissatisfied,Evening,4,2902
157,Keeley Rainy,2008,14:08,3031.581,32,30283.81,34,Student Plan subscription,5,Android,Existing,3/15/2008,krainy4c@phoca.cz,15,mastercard,Working Professional,Highly Dissatisfied,Morning,3,3177
158,Becka Dopson,2010,4:55,5881.892,32,58786.92,34,6 month subscription,1,UNIX,Existing,11/3/2013,bdopson4d@businesswire.com,48,jcb,Other,Dissatisfied,Morning,2,3744
159,Fletcher Quinane,2012,15:31,5223.248,32,52200.48,48,3 month subscription,6,Android,Existing,8/13/2014,fquinane4e@etsy.com,26,china-unionpay,Home maker,Dissatisfied,Evening,4,3889
175,Katie Fandrey,2012,7:19,1951.128,32,19479.28,29,3 month subscription,8,MAC,Existing,8/4/2012,kfandrey4u@1und1.de,56,jcb,Student,Highly Satisfied,Evening,3,4262
178,Yves Stemp,2012,6:06,4440.011,32,44368.11,42,6 month subscription,10,Android,Existing,2/13/2014,ystemp4x@sourceforge.net,36,americanexpress,Student,Neutral,Evening,4,2032
182,Cristie Jonathon,2011,12:33,5203.814,32,52006.14,10,Free users subscription,3,MAC,Existing,5/6/2011,cjonathon51@pinterest.com,32,mastercard,Working Professional,Highly Dissatisfied,Evening,3,3725
185,Gunilla Rannald,2011,10:54,983.224,32,9800.24,42,Family Plan subscription,2,Android,Existing,8/2/2014,grannald54@goo.ne.jp,16,mastercard,Student,Highly Dissatisfied,Afternoon,3,3764
186,Dorolice Trayton,2010,14:11,9541.766,32,95385.66,31,6 month subscription,1,Windows,Existing,11/7/2014,dtrayton55@techcrunch.com,65,americanexpress,Working Professional,Dissatisfied,Morning,4,4037
187,Victoria Stroobant,2011,22:28,1484.339,32,14811.39,42,Family Plan subscription,7,MAC,Existing,7/5/2012,vstroobant56@europa.eu,39,jcb,Unemployed,Highly Dissatisfied,Afternoon,3,2883
188,Luella Whitebrook,2011,17:06,7213.719,32,72105.19,23,6 month subscription,5,Windows,Existing,7/18/2012,lwhitebrook57@craigslist.org,17,jcb,Unemployed,Dissatisfied,Afternoon,4,3635
193,Helen-elizabeth Mattingly,2011,1:49,2976.689,32,29734.89,26,1 month subscription,2,MAC,Existing,12/20/2011,hmattingly5c@i2i.jp,38,jcb,Student,Highly Satisfied,Evening,5,2286
195,Rozanne Karlqvist,2010,11:00,820.57,32,8173.7,42,1 year subscription,4,Android,Existing,8/16/2010,rkarlqvist5e@acquirethisname.com,18,jcb,Other,Highly Dissatisfied,Morning,5,4401
198,Willi Semper,2010,5:17,6878.994,32,68757.94,11,1 month subscription,6,Windows,Existing,7/24/2011,wsemper5h@ftc.gov,32,jcb,Businessman,Highly Satisfied,Night,2,3251
199,Rozina Grisard,2010,16:28,438.925,32,4357.25,6,1 year subscription,3,Android,Existing,7/27/2014,rgrisard5i@indiegogo.com,33,jcb,Other,Satisfied,Evening,3,2577
